"DATE","unemploy_rate_la","avg_price_electr_kwh_La","avg_price_gasolone_la","civilian_labor_force_la_pch","unemployed_num_pch","new_private_housing_structure_issue_la","home_price_index_la","allemployee_nonfarm_la_pch","allemployee_constr_la_pch","allemployee_manu_la_pch","allemployee_finan_la_pch","allemployee_leisure_la_pch","govn_social_insu_pch","compen_employee_wage_pch","real_disp_inc_per_capital_pch","bbk_real_gdp","pers_consum_expen_pch","pers_saving_rate_us","pers_current_tax_chg","govn_social_ben_toperson_pch","federal_fund_eff_rate_us","X30_year_fixed_mortgage_us"
"1990/2/1",5.6,0.108,0.988,0.2,-4.3,4648.972274,0.4,0.1,-1.2,0,-0.1,-0.4,0,1.2,0.1,6.181450855,-0.1,8.6,8.1,-0.2,8.237142857,3.0571
"1990/3/1",5.4,0.108,1.014,0.1,-3.8,3628.442708,0.2,-0.1,-1.1,-0.4,-0.7,-0.1,1,0.7,-0.1,2.919556176,0.7,8.3,5.2,0.7,8.276774194,0.69135
"1990/4/1",5.5,0.108,1.03,-0.4,1,3833.475627,-0.1,-0.2,-3.7,-0.4,-0.2,-0.6,0,0.9,0.5,-0.563437942,0.4,8.8,4.2,0.6,8.255,0.99338
"1990/5/1",5.4,0.107,1.08,0.4,-0.9,3466.321337,-1.1,-0.2,-1.3,-0.4,-0.8,-0.1,0.3,-0.3,-0.2,0.750792426,0.2,8.7,0.6,-0.5,8.176451613,1.03664
"1990/6/1",5.4,0.108,1.103,0,-0.5,3496.68365,-0.3,-0.3,-0.9,-0.7,-0.3,0.3,1.3,0.8,0,1.177107306,0.8,8.6,3.9,1.2,8.288666667,-2.99213
"1990/7/1",6.2,0.108,1.133,0.5,15.2,2795.643172,-0.9,-0.4,-1.2,0.1,0.7,0.5,0.7,0.7,0.2,0.696738116,0.5,8.7,2.4,-0.7,8.152580645,-1.26919
"1990/8/1",6.2,0.108,1.282,-0.4,0.2,2466.206952,-0.6,-0.4,-1.8,-0.9,0.1,-0.3,-0.1,-0.4,-0.8,0.021633426,0.7,8.1,-0.3,-0.3,8.134193548,0.64773
"1990/9/1",6.3,0.108,1.346,-1.4,0.4,2356.650224,-0.9,-0.4,-0.4,-0.8,0.2,0,0.8,0.7,-0.2,-2.826068654,0.6,8.1,3.3,2,8.195,0.74257
"1990/10/1",6.2,0.109,1.416,-0.1,-2.3,2173.004342,-0.6,-0.1,-1.5,-0.4,-0.3,0.1,-0.3,-0.8,-0.9,-4.275016102,0,7.8,-1.8,-1,8.112580645,0.02457
"1990/11/1",6.5,0.11,1.421,-0.5,3.7,2266.649862,-1.2,-0.2,-1.2,-0.5,-0.5,0.2,0.3,0,-0.1,-5.798298287,0,7.9,-0.5,0.4,7.806666667,-1.60648
"1990/12/1",6.5,0.11,1.407,0,0.6,1482.930833,-0.9,-0.2,-1,-0.6,-0.2,-0.4,0.9,0.8,0.5,-2.865178971,-0.3,8.8,0.5,1.5,7.312903226,-3.41023
"1991/1/1",7.3,0.118,1.26,-1,11,1862.257807,-1.3,-0.3,-1.4,-1.6,-1.1,0.2,-0.1,-0.9,-0.4,-1.250091324,-0.5,9.3,-18.7,4,6.906451613,-0.36185
"1991/2/1",7.6,0.118,1.108,0.9,5.2,1928.765897,-1.1,-0.5,-1.7,-0.8,-0.2,-0.6,0.2,-0.2,0,-1.191145607,0.7,8.8,-2.4,0.4,6.2525,-2.8275
"1991/3/1",7.6,0.118,1.012,-0.1,-0.6,2105.556915,-1.3,-0.4,-2.6,-0.8,0,-0.2,0.4,0.1,0.1,0.778506625,1.2,8,0.2,0.9,6.11516129,1.44154
"1991/4/1",7.4,0.118,1.066,-0.3,-3,1812.583453,0.2,0,-0.4,-0.2,-0.8,1.4,0.5,0.3,0.3,5.23206292,-0.2,8.6,2.8,-0.2,5.912333333,-0.07895
"1991/5/1",7.9,0.117,1.17,-0.2,6.5,2619.017532,0.2,-0.4,0,-0.6,-0.2,-0.2,0.5,0.4,-0.1,4.596994516,0.7,8.4,2.3,0.7,5.782903226,-0.21596
"1991/6/1",8.2,0.117,1.173,1,4.8,2003.49921,0.6,-0.3,-1.1,-0.5,-0.3,-0.2,1.1,1.2,0.4,2.696776918,0.2,8.9,4.4,-0.4,5.899666667,1.50971
"1991/7/1",8.6,0.117,1.126,0.9,6.2,1872.6514,0.2,-0.2,-0.1,-0.7,0.6,-0.1,-0.2,-0.6,-0.3,1.638336382,0.6,8.2,-1.8,0,5.820967742,-0.41602
"1991/8/1",8.4,0.117,1.143,-0.4,-2.6,1891.513757,-0.1,-0.3,-0.5,-0.4,-0.2,0,0.5,0.5,0.1,0.791575864,0.1,8.6,0.9,0.9,5.661290323,-3.45692
